year,date,location,in_Cameron,did_win,team,opp,result,pts,pos,to,to_percent,fgm,fga,fg_percent,ftm,fta,ft_percent,pf,biggest_lead,biggest_run,game_id,type,conf,opp_conf,avg_marg,opp_avg_marg,adj_o,adj_d,off_ppp,off_efg,off_to,off_or,off_ftr,def_ppp,def_efg,def_to,def_or,def_ftr,game_score,season,tempo,coach,opp_coach
2010,3/7/2010,A,0,0,Boston College,North Carolina St.,"L, 66-54",54,61,11,0.180327869,22,49,0.448979592,7,11,0.636363636,22,NA,NA,300660152,conf,ACC,ACC,-0.086104,0.833763,102.7,97.8,88.4,48,18,16.7,22.4,108,55.4,16.4,15.4,45.7,63.7,2010,61.1,Al Skinner,Sidney Lowe
2010,3/7/2010,A,0,0,Clemson,Wake Forest,"L, 70-65",65,70,14,0.2,24,62,0.387096774,12,19,0.631578947,20,NA,NA,300660154,conf,ACC,ACC,-3.79141,0.880133,101.8,93.1,91.9,42.7,19.8,34.1,30.6,99,44.1,25.4,47.2,37.3,73.7,2010,70.7,Oliver Purnell,Dino Gaudio
2010,3/6/2010,A,0,1,Virginia Tech,Georgia Tech,"W, 88-82",88,79,16,0.202531646,25,49,0.510204082,29,36,0.805555556,22,NA,NA,300650059,conf,ACC,ACC,6.57602,0.921855,128.2,93.5,111.1,60.2,20.2,14.8,73.5,103.5,45.1,12.6,27.7,36.6,97.4,2010,79.2,Seth Greenberg,Paul Hewitt
2010,3/6/2010,A,1,0,North Carolina,Duke,"L, 82-50",50,63,15,0.238095238,16,48,0.333333333,17,26,0.653846154,16,NA,NA,300650150,conf,ACC,ACC,-20.0541,0.981919,91.5,106.8,78.6,34.4,23.6,32.4,54.2,128.9,52.6,14.1,45.2,40.4,14.5,2010,63.6,Roy Williams,Mike Krzyzewski
2010,3/6/2010,A,0,1,Maryland,Virginia,"W, 74-68",74,59,9,0.152542373,23,55,0.418181818,20,26,0.769230769,14,NA,NA,300650258,conf,ACC,ACC,8.22529,0.79033,136.6,105.5,124.2,49.1,15.1,50,47.3,114.1,62.2,18.5,18.2,16.3,95.1,2010,59.6,Gary Williams,Tony Bennett
2010,3/6/2010,A,0,1,Florida St.,Miami FL,"W, 61-60",61,58,17,0.293103448,23,46,0.5,5,8,0.625,19,NA,NA,300652390,conf,ACC,ACC,6.33153,0.870476,113.8,87.1,104.1,60.9,29,32,17.4,102.3,44.6,15.4,25.9,47.8,95.6,2010,58.6,Leonard Hamilton,Frank Haith
2010,3/3/2010,A,0,0,Wake Forest,Florida St.,"L, 51-47",47,58,20,0.344827586,17,40,0.425,10,15,0.666666667,20,NA,NA,300620052,conf,ACC,ACC,-2.01667,0.921192,96,83.4,80,46.2,34,28,37.5,86.8,41.5,25.5,34.5,58.5,83.3,2010,58.8,Dino Gaudio,Leonard Hamilton
2010,3/3/2010,A,0,0,Virginia,Boston College,"L, 68-55",55,60,12,0.2,24,52,0.461538462,5,11,0.454545455,17,NA,NA,300620103,conf,ACC,ACC,-11.4041,0.851035,91.9,102.8,90.3,48.1,19.7,29,21.2,111.7,46.5,14.8,37.1,31.6,21.6,2010,60.9,Tony Bennett,Al Skinner
2010,3/3/2010,A,0,0,Duke,Maryland,"L, 79-72",72,67,8,0.119402985,26,66,0.393939394,10,16,0.625,20,NA,NA,300620120,conf,ACC,ACC,-4.25021,0.937807,114.5,99.2,106.2,47,11.8,33.3,24.2,116.5,55.4,16.2,27.6,33.9,83.9,2010,67.8,Mike Krzyzewski,Gary Williams
2010,3/3/2010,A,0,0,North Carolina St.,Virginia Tech,"L, 71-59",59,67,20,0.298507463,20,50,0.4,15,19,0.789473684,23,NA,NA,300620259,conf,ACC,ACC,-4.31115,0.895166,100.7,96.4,87.8,44,29.8,36.7,38,105.7,48.1,14.9,29.4,52.8,62.2,2010,67.2,Sidney Lowe,Seth Greenberg
